epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7277,1.47921,2.7712,1.69861,0.45179,0.39014,0.34452,0.20342,1.66672,2.56429,1.94523,0.000414654,0.000414654,0.000414654
2,98.3819,1.51809,2.369,1.72917,0.42116,0.29442,0.28258,0.15188,1.86857,2.70217,2.12808,0.00081486,0.00081486,0.00081486
3,143.96,1.57212,2.27445,1.78193,0.64423,0.30524,0.31232,0.16895,1.88473,2.37146,2.17301,0.00119857,0.00119857,0.00119857
4,189.889,1.55404,2.1643,1.75782,0.5319,0.33687,0.36143,0.18453,1.80184,2.35714,2.09448,0.00117575,0.00117575,0.00117575
5,235.84,1.54201,2.05309,1.74408,0.37653,0.3818,0.35188,0.19118,1.74088,2.04793,1.97835,0.001151,0.001151,0.001151
6,281.341,1.48622,1.96225,1.68958,0.52966,0.42856,0.43706,0.25584,1.67805,1.96582,1.99408,0.00112625,0.00112625,0.00112625
7,327.712,1.45927,1.90553,1.68135,0.72711,0.37105,0.41288,0.22576,1.64676,2.06372,1.97583,0.0011015,0.0011015,0.0011015
8,374.245,1.40204,1.80823,1.63228,0.49132,0.47819,0.4488,0.26203,1.59662,1.88209,1.8697,0.00107675,0.00107675,0.00107675
9,419.987,1.38424,1.75454,1.61281,0.58346,0.51676,0.5228,0.29589,1.54131,1.66588,1.82444,0.001052,0.001052,0.001052
10,466.263,1.34975,1.67238,1.5814,0.57644,0.52974,0.55267,0.32104,1.49165,1.57652,1.78982,0.00102725,0.00102725,0.00102725
11,511.745,1.34333,1.67531,1.58978,0.65985,0.50755,0.55547,0.3211,1.50972,1.57617,1.7628,0.0010025,0.0010025,0.0010025
12,557.674,1.30714,1.58745,1.55498,0.66757,0.60309,0.58553,0.33626,1.45852,1.51449,1.72623,0.00097775,0.00097775,0.00097775
13,603.379,1.28968,1.57535,1.55137,0.58932,0.53768,0.54359,0.31905,1.49077,1.57629,1.78591,0.000953,0.000953,0.000953
14,649.348,1.29468,1.56337,1.54692,0.65715,0.53636,0.58778,0.34538,1.42777,1.49218,1.70214,0.00092825,0.00092825,0.00092825
15,695.103,1.27582,1.51015,1.52804,0.67767,0.58834,0.62371,0.37277,1.39996,1.36441,1.68143,0.0009035,0.0009035,0.0009035
16,740.574,1.24238,1.46977,1.51069,0.6593,0.58482,0.61233,0.35833,1.41246,1.36474,1.69852,0.00087875,0.00087875,0.00087875
17,786.309,1.24758,1.46555,1.51286,0.67774,0.55495,0.59766,0.35036,1.41575,1.45937,1.69625,0.000854,0.000854,0.000854
18,832.724,1.21696,1.42531,1.49425,0.70155,0.59997,0.641,0.37554,1.39387,1.33582,1.68255,0.00082925,0.00082925,0.00082925
19,878.706,1.18896,1.35976,1.46334,0.67868,0.62005,0.64534,0.38586,1.37462,1.28649,1.64809,0.0008045,0.0008045,0.0008045
20,924.26,1.19244,1.369,1.47277,0.70155,0.64117,0.65724,0.40179,1.37439,1.28372,1.62106,0.00077975,0.00077975,0.00077975
21,969.762,1.17804,1.35887,1.45683,0.66581,0.64392,0.65769,0.40334,1.31947,1.2862,1.63177,0.000755,0.000755,0.000755
22,1014.89,1.17633,1.33723,1.44946,0.75806,0.63036,0.68722,0.42407,1.32153,1.22245,1.57957,0.00073025,0.00073025,0.00073025
23,1060.83,1.16639,1.29516,1.44354,0.70554,0.64157,0.68298,0.4362,1.2969,1.18985,1.55838,0.0007055,0.0007055,0.0007055
24,1106.94,1.15375,1.2815,1.43503,0.69557,0.6869,0.7004,0.44877,1.27793,1.18222,1.57629,0.00068075,0.00068075,0.00068075
25,1152.9,1.14166,1.24731,1.43003,0.72507,0.62941,0.68081,0.43006,1.2967,1.16034,1.58288,0.000656,0.000656,0.000656
26,1198.74,1.13011,1.24593,1.41567,0.75085,0.6674,0.70153,0.44904,1.26905,1.11398,1.5633,0.00063125,0.00063125,0.00063125
27,1244.97,1.13424,1.23409,1.4193,0.7405,0.67959,0.70848,0.4408,1.30813,1.18074,1.58966,0.0006065,0.0006065,0.0006065
28,1290.57,1.1103,1.19,1.41224,0.79573,0.66279,0.7499,0.46788,1.27371,1.10666,1.55725,0.00058175,0.00058175,0.00058175
29,1336.76,1.09055,1.17809,1.37955,0.70705,0.72341,0.73471,0.46877,1.26003,1.1073,1.53904,0.000557,0.000557,0.000557
30,1382.72,1.09684,1.16801,1.39088,0.77889,0.66598,0.73319,0.45941,1.26166,1.14088,1.54106,0.00053225,0.00053225,0.00053225
31,1429.52,1.07373,1.1425,1.374,0.72622,0.69646,0.72454,0.45952,1.24898,1.07666,1.52476,0.0005075,0.0005075,0.0005075
32,1475.46,1.07222,1.13302,1.37187,0.761,0.70511,0.74534,0.48158,1.23387,1.05583,1.52441,0.00048275,0.00048275,0.00048275
33,1521.24,1.05607,1.10327,1.36259,0.78832,0.71169,0.74698,0.47938,1.24351,1.01048,1.53936,0.000458,0.000458,0.000458
34,1566.93,1.0634,1.12982,1.37416,0.76135,0.69206,0.72663,0.47271,1.21112,1.0677,1.51774,0.00043325,0.00043325,0.00043325
35,1612.6,1.05635,1.09109,1.36569,0.78542,0.72752,0.7633,0.496,1.18699,0.99214,1.4921,0.0004085,0.0004085,0.0004085
36,1658.49,1.03473,1.07573,1.34566,0.76267,0.70837,0.74034,0.48874,1.17974,1.02707,1.4728,0.00038375,0.00038375,0.00038375
37,1704.21,1.02347,1.05193,1.33792,0.75389,0.70039,0.75761,0.49812,1.17698,0.99113,1.47077,0.000359,0.000359,0.000359
38,1749.63,1.04738,1.07364,1.34758,0.80837,0.73339,0.7708,0.4942,1.20008,0.98664,1.47988,0.00033425,0.00033425,0.00033425
39,1795.4,1.02345,1.04239,1.3347,0.82631,0.72665,0.78351,0.51755,1.18389,0.94016,1.47501,0.0003095,0.0003095,0.0003095
40,1841.17,1.0181,1.01893,1.32732,0.8285,0.72101,0.77721,0.51179,1.16583,0.95622,1.45425,0.00028475,0.00028475,0.00028475
41,1886.16,0.97961,0.90501,1.3483,0.85124,0.70197,0.77609,0.52129,1.1477,0.96199,1.44506,0.00026,0.00026,0.00026
42,1929.31,0.9687,0.86182,1.32973,0.80298,0.75786,0.79256,0.52956,1.17007,0.93802,1.45377,0.00023525,0.00023525,0.00023525
43,1972.26,0.94364,0.82082,1.30431,0.80385,0.75707,0.78476,0.52762,1.14731,0.91405,1.44063,0.0002105,0.0002105,0.0002105
44,2015.33,0.93573,0.81545,1.31438,0.84365,0.75014,0.79606,0.53686,1.14393,0.90488,1.43578,0.00018575,0.00018575,0.00018575
45,2058.08,0.91982,0.79346,1.29492,0.83155,0.75879,0.81181,0.54734,1.13019,0.89248,1.42588,0.000161,0.000161,0.000161
46,2101.4,0.90457,0.77559,1.28486,0.85548,0.72125,0.79906,0.53631,1.12261,0.90767,1.4163,0.00013625,0.00013625,0.00013625
